% White-alone,% Black-alone,R_death_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI
95.07230047,1.2657277,10.0,14.1,35.4,18.8,15.5,23.3,21.3,50374.0,47914.0,52834.0,6.1,50374.0,88.9,49.7,47.3,51.9,38.6,36.8,40.4,10.1,9.1,11.1,11.3,9.6,13.0,12.6,14.9,3.8,3.5,4.1
96.87122069,1.156712051,13.1,10.2,48.4,17.6,15.0,20.9,18.8,45761.0,43018.0,48504.0,4.9,45761.0,75.2,46.7,44.0,49.2,33.2,31.3,35.1,9.2,8.2,10.1,9.9,8.3,11.5,11.9,14.2,3.5,3.2,3.8
93.30051087,3.798406522,9.2,10.8,43.8,16.1,12.2,14.8,13.3,54718.0,50857.0,58579.0,3.8,54718.0,98.2,47.0,44.9,49.1,33.7,32.1,35.4,7.3,6.6,8.1,9.2,7.9,10.4,11.2,13.1,2.9,2.7,3.1
75.24786919,1.277396069,9.1,7.9,32.8,24.3,9.8,12.5,10.8,61849.0,58266.0,65432.0,3.3,61849.0,119.1,46.9,44.9,48.7,36.5,35.1,38.1,7.8,7.1,8.5,8.1,7.1,9.3,10.4,12.0,3.0,2.8,3.2
81.51568553,11.15646865,10.3,8.9,36.4,21.2,17.3,27.6,25.2,48413.0,45124.0,51702.0,4.2,48413.0,85.5,48.0,46.0,49.8,37.5,36.1,39.0,8.4,7.7,9.1,9.6,8.4,11.0,11.7,13.4,3.4,3.2,3.6
52.91988611,5.568178602,7.5,11.5,12.3,57.1,10.1,10.9,11.1,110601.0,107200.0,114002.0,2.4,110601.0,147.0,23.9,22.6,25.1,16.8,16.0,17.5,4.6,4.2,5.0,3.8,3.2,4.3,8.2,9.4,2.3,2.2,2.5
69.49110794,28.19843342,11.4,18.7,41.8,10.4,20.5,33.6,34.1,48708.0,45569.0,51847.0,4.4,48708.0,83.1,46.1,44.3,47.8,32.9,31.6,34.3,9.1,8.4,9.9,10.6,9.4,11.9,14.6,16.4,3.9,3.6,4.1
94.00214209,0.749732239,8.6,13.2,33.6,20.6,10.2,14.0,13.1,53107.0,47916.0,58298.0,2.9,53107.0,93.1,40.4,37.8,42.9,30.4,28.5,32.2,7.8,6.9,8.8,6.1,4.9,7.3,9.3,11.3,3.1,2.8,3.4
88.37988204,4.384466607,9.7,6.1,28.8,40.5,5.7,6.6,6.0,88538.0,86842.0,90234.0,3.7,88538.0,145.4,39.3,37.2,41.4,29.8,28.3,31.3,6.3,5.6,7.0,6.4,5.3,7.6,9.7,11.6,2.7,2.5,2.9
90.46302695,2.58005068,11.0,20.1,42.0,11.6,24.3,29.4,26.9,29515.0,26216.0,32814.0,5.5,29515.0,62.3,48.3,46.4,50.2,35.7,34.2,37.3,7.6,6.9,8.3,5.8,5.2,6.6,13.3,15.3,3.8,3.5,4.1
80.03527163,13.62569126,9.8,12.3,32.0,22.6,16.1,27.2,25.3,53795.0,51486.0,56104.0,5.7,53795.0,82.7,42.7,40.8,44.6,32.9,31.5,34.2,7.8,7.0,8.5,8.6,7.4,9.9,11.0,12.7,3.3,3.1,3.5
96.64306919,1.541447819,9.2,15.1,42.8,11.0,12.0,16.3,14.8,56769.0,51081.0,62457.0,4.2,56769.0,113.1,51.0,48.6,53.2,38.7,36.9,40.6,9.8,8.9,10.7,11.9,10.3,13.6,12.9,15.1,3.3,3.1,3.6
94.9795082,0.409836066,2.6,10.3,31.7,18.7,10.2,12.9,12.0,68243.0,60694.0,75792.0,4.1,68243.0,104.6,48.6,45.9,51.1,36.9,35.0,39.0,8.9,8.0,10.0,7.6,6.4,9.0,11.0,13.3,3.3,3.0,3.6
88.586565,7.631307702,13.7,11.9,37.5,24.9,17.1,26.0,22.7,41926.0,39988.0,43864.0,5.2,41926.0,95.2,52.2,50.2,54.3,37.4,36.0,38.8,10.5,9.6,11.6,12.1,10.4,14.0,13.5,15.9,3.6,3.4,3.9
97.87696423,0.860916082,9.4,7.7,43.5,16.9,8.6,11.9,11.1,64190.0,58883.0,69497.0,2.7,64190.0,106.9,42.4,40.0,44.6,35.0,33.1,36.7,8.0,7.2,8.9,7.5,6.4,8.7,10.2,12.2,3.1,2.9,3.4
93.09927361,0.847457627,2.4,5.2,40.0,25.9,18.9,32.6,31.4,38782.0,34598.0,42966.0,4.6,38782.0,70.2,41.9,39.4,44.4,31.5,29.7,33.4,9.1,8.1,10.1,7.9,6.6,9.3,11.2,13.4,3.6,3.3,3.9
95.21516072,2.837399225,9.5,10.6,47.0,14.9,12.4,16.4,14.5,52332.0,47744.0,56920.0,3.7,52332.0,93.9,46.3,44.0,48.6,34.7,32.9,36.4,8.6,7.7,9.5,10.4,9.0,12.1,12.0,14.1,3.2,3.0,3.5
84.24328239,3.445699947,8.7,11.2,23.2,33.9,16.5,22.2,21.5,51372.0,49762.0,52982.0,4.5,51372.0,108.4,37.5,36.1,39.0,27.3,26.3,28.3,6.2,5.7,6.7,6.0,5.2,6.8,10.7,12.2,3.2,3.0,3.4
91.70126484,1.408572074,7.9,5.6,20.6,44.1,7.0,8.0,7.7,85550.0,82944.0,88156.0,3.0,85550.0,118.9,29.9,28.2,31.7,22.3,21.2,23.5,5.1,4.6,5.7,5.1,4.2,6.0,6.7,7.9,2.5,2.4,2.7
65.84752656,30.61792906,10.1,18.2,34.5,16.5,19.6,30.4,30.0,45680.0,41914.0,49446.0,4.0,45680.0,77.9,48.8,47.2,50.4,36.8,35.5,38.0,8.0,7.4,8.7,9.4,8.3,10.5,13.5,15.0,3.6,3.4,3.8
70.07475732,26.53326887,12.3,19.1,38.5,15.8,24.9,40.6,39.8,37148.0,33818.0,40478.0,5.8,37148.0,63.4,49.4,47.6,51.2,36.2,34.9,37.6,9.1,8.3,9.8,10.7,9.4,12.0,15.1,17.0,3.9,3.7,4.2
78.62349421,16.67306069,9.6,15.5,35.7,18.6,18.8,30.5,30.1,43714.0,39025.0,48403.0,4.9,43714.0,72.1,52.1,50.2,53.9,38.9,37.4,40.4,9.4,8.7,10.2,9.2,8.0,10.3,14.5,16.4,3.8,3.6,4.1
89.4059677,6.159321106,13.1,19.5,32.4,19.6,20.4,31.5,30.4,39726.0,35423.0,44029.0,3.6,39726.0,65.5,47.1,45.0,48.9,35.4,34.0,36.9,9.7,8.8,10.6,9.1,7.8,10.4,14.1,16.0,3.9,3.6,4.2
91.20183644,4.913970651,12.7,12.0,33.1,25.7,19.3,23.1,22.8,39790.0,36807.0,42773.0,4.7,39790.0,90.4,54.0,51.6,56.3,38.0,36.2,39.7,9.8,8.8,10.9,12.0,10.2,13.9,12.6,15.0,3.4,3.1,3.7
83.88685295,13.50206138,9.1,23.9,40.8,15.8,21.0,26.1,22.3,42689.0,37973.0,47405.0,3.2,42689.0,77.0,49.3,47.2,51.3,36.7,35.4,38.0,9.9,9.0,10.9,11.6,10.1,13.2,12.8,14.7,3.7,3.4,3.9
96.78599975,0.811913676,8.3,5.1,35.1,24.3,8.2,10.0,8.9,68017.0,64243.0,71791.0,2.6,68017.0,111.9,43.7,41.2,46.1,35.4,33.4,37.3,7.1,6.3,7.8,6.7,5.6,7.8,8.9,10.7,2.9,2.7,3.2
93.64150103,2.760690642,11.0,11.1,35.9,21.7,18.3,27.0,24.7,45689.0,43556.0,47822.0,5.0,45689.0,67.5,46.5,44.5,48.3,34.4,33.1,35.6,8.8,8.0,9.8,10.1,8.6,11.6,11.4,13.5,3.5,3.2,3.8
93.82180298,3.044560674,10.4,10.9,34.8,24.0,9.9,13.5,12.8,57939.0,54424.0,61454.0,3.2,57939.0,110.6,48.8,46.6,51.1,37.2,35.5,39.0,8.6,7.8,9.5,10.1,8.6,11.8,11.4,13.5,3.2,3.0,3.5
97.08251495,0.982058129,12.6,9.0,38.6,19.4,12.9,19.3,17.7,53409.0,48576.0,58242.0,4.9,53409.0,82.1,45.1,42.7,47.5,33.2,31.4,35.1,8.2,7.4,9.0,9.4,8.1,10.7,10.4,12.3,3.3,3.0,3.5
98.15177212,0.130463144,9.0,14.4,46.9,11.6,16.9,27.3,28.1,39463.0,35407.0,43519.0,4.1,39463.0,72.5,49.3,47.0,51.6,37.2,35.1,39.0,9.7,8.8,10.7,11.3,9.8,12.9,12.1,14.2,3.6,3.3,3.9
95.79180509,0.442967885,6.5,9.0,27.7,26.3,7.8,10.2,10.2,67470.0,59965.0,74975.0,3.0,67470.0,111.3,47.3,45.3,49.3,35.0,33.5,36.3,8.9,8.0,9.8,8.3,7.1,9.6,11.6,13.6,3.3,3.1,3.6
83.18284095,12.6530493,10.5,10.4,38.5,17.8,14.4,18.7,17.2,50301.0,46615.0,53987.0,4.5,50301.0,89.6,47.2,45.1,48.8,36.7,35.2,37.9,8.4,7.7,9.2,9.6,8.4,10.9,12.1,13.9,3.3,3.0,3.5
85.8984713,5.9550647,8.8,9.6,28.1,35.9,9.0,10.8,9.9,71767.0,69837.0,73697.0,3.5,71767.0,89.9,39.3,37.3,41.2,31.3,29.8,32.6,6.2,5.6,6.9,6.0,4.9,7.1,8.6,10.2,2.7,2.5,2.9
95.90775574,0.961485833,11.6,5.9,32.3,32.3,11.6,15.9,15.1,52148.0,49062.0,55234.0,3.8,52148.0,93.8,41.9,39.5,44.1,30.7,29.2,32.3,8.6,7.7,9.6,8.4,7.0,9.8,9.9,12.1,3.3,3.1,3.6
83.06157498,13.115798,13.4,9.1,31.6,30.4,10.4,17.7,16.9,59266.0,54849.0,63683.0,8.0,59266.0,71.3,45.9,43.8,47.9,36.4,34.8,38.0,8.8,7.9,9.8,8.6,7.1,10.0,12.8,15.1,3.6,3.3,3.8
57.45517979,37.5371804,9.6,9.6,26.2,34.1,16.7,25.9,23.9,49957.0,48141.0,51773.0,3.5,49957.0,106.1,47.0,45.4,48.6,34.7,33.6,35.9,7.6,7.0,8.3,7.6,6.6,8.7,12.0,13.6,3.2,3.0,3.4
89.8078956,6.443577686,13.7,16.5,33.7,18.2,19.4,29.9,27.9,43337.0,40135.0,46539.0,3.7,43337.0,71.5,54.5,52.5,56.5,38.0,36.4,39.4,10.2,9.3,11.2,10.4,8.9,11.8,13.9,16.1,3.9,3.6,4.2
90.11775831,6.340485894,9.2,13.0,41.5,16.9,10.7,14.1,12.8,61645.0,56444.0,66846.0,3.8,61645.0,109.8,46.7,44.4,48.8,33.6,31.7,35.3,7.6,6.9,8.3,9.0,7.7,10.4,10.8,12.7,2.9,2.7,3.1
43.79772367,45.42573116,14.3,21.4,38.7,13.3,12.3,18.8,17.7,56872.0,50866.0,62878.0,3.9,56872.0,78.3,51.1,49.3,52.8,38.7,37.3,39.9,9.7,9.1,10.4,10.2,9.1,11.3,16.7,18.7,4.3,4.1,4.6
91.38153648,5.261459006,11.2,8.8,34.0,20.4,11.9,14.2,13.7,50261.0,44755.0,55767.0,2.8,50261.0,86.4,49.0,46.8,51.3,39.8,38.1,41.6,8.2,7.4,9.2,8.2,7.0,9.5,11.7,13.8,3.2,3.0,3.5
97.53077685,0.424508278,11.3,8.2,38.0,18.8,9.7,12.8,12.1,60044.0,55151.0,64937.0,2.2,60044.0,100.0,45.8,43.6,48.2,34.2,32.4,36.0,8.0,7.1,8.8,7.7,6.5,8.9,10.2,12.2,3.1,2.9,3.4
95.51192146,1.636278635,10.8,18.4,35.1,17.8,21.6,40.8,40.2,35881.0,31920.0,39842.0,4.0,35881.0,59.2,50.4,48.6,51.9,34.9,33.8,36.0,11.2,10.2,12.3,9.2,7.9,10.7,15.6,17.8,4.3,4.0,4.6
